,entity_name,fiscal_year,total_revenues,estimated_population,revenues_per_capita
941,Alhambra,2012,106007275,83661,1267
942,Alhambra,2013,106093504,84240,1259
943,Alhambra,2014,116124032,84697,1371
944,Alhambra,2015,110050437,85545,1286
945,Alhambra,2016,115993675,86782,1337
946,Albany,2003,25841727,16787,1539
947,Albany,2004,20049794,16722,1199
948,Albany,2005,27661773,16743,1652
949,Albany,2006,21189973,16680,1270
950,Albany,2007,24185642,16764,1443
951,Albany,2008,37288590,16877,2209
952,Albany,2009,31026068,16884,1838
953,Albany,2010,24924953,17021,1464
954,Albany,2011,26655984,18622,1431
955,Albany,2012,25817029,18488,1396
956,Albany,2013,26357373,18430,1430
957,Albany,2014,31830206,18472,1723
958,Albany,2015,28109961,18565,1514
959,Albany,2016,35120955,18893,1859
960,Alameda,2003,145006838,74940,1935
961,Alameda,2004,140981174,74409,1895
962,Alameda,2005,143214313,74581,1920
963,Alameda,2006,162447358,74405,2183
964,Alameda,2007,181933558,75254,2418
965,Alameda,2008,182807850,75823,2411
966,Alameda,2009,177799783,74683,2381
967,Alameda,2010,171255424,75409,2271
968,Alameda,2011,167723599,74081,2264
969,Alameda,2012,159052967,74640,2131
970,Alameda,2013,166123124,75126,2211
971,Alameda,2014,200341642,75988,2636
972,Alameda,2015,189001535,76638,2466
973,Alameda,2016,215187532,79277,2714
974,Agoura Hills,2003,16192116,21930,738
975,Agoura Hills,2004,16926864,22127,765
976,Agoura Hills,2005,17889207,23330,767
977,Agoura Hills,2006,18605145,23231,801
978,Agoura Hills,2007,21809043,23340,934
979,Agoura Hills,2008,18532560,23337,794
980,Agoura Hills,2009,18188712,23337,779
981,Agoura Hills,2010,15829384,23387,677
982,Agoura Hills,2011,16639271,20393,816
983,Agoura Hills,2012,15585529,20413,764
984,Agoura Hills,2013,16239870,20516,792
985,Agoura Hills,2014,25485389,20625,1236
986,Agoura Hills,2015,23443915,20767,1129
987,Agoura Hills,2016,28100766,21211,1325
988,Adelanto,2004,17233486,21271,810
989,Adelanto,2005,20408343,23418,871
990,Adelanto,2006,26349626,24880,1059
991,Adelanto,2008,29280121,28181,1039
992,Adelanto,2009,29104128,28265,1030
993,Adelanto,2010,53616428,28540,1879
994,Adelanto,2011,13165265,31671,416
995,Adelanto,2012,13532422,31066,436
996,Adelanto,2013,11448926,31289,366
997,Adelanto,2014,13047272,32511,401
998,Adelanto,2015,14051611,33084,425
999,Adelanto,2016,14565863,33497,435
