,agic_sortid,taxable_year,agic,county,all_returns,all_joint_returns,all_taxable_returns,dependents_on_returns,adjusted_gross_income,tax_assessed
5849,1,2010,Zero and Deficit,Placer,3894,1588,127,1508,-387496000,79000
5850,10,2004,"24,000 to 26,999",Placer,4916,1531,2685,2349,125190000,899000
5851,26,2004,"1,000,000 and over",Placer,317,271,316,293,957515000,77173000
5852,1,2009,Zero and Deficit,Placer,3891,1678,139,1695,-448315000,48000
5853,26,2015,"1,000,000 and over",Placer,503,434,502,491,1420838000,151502000
5854,6,2006,"12,000 to 14,999",Placer,5643,890,2192,1841,76048000,154000
5855,2,2013,"1 to 2,999",Placer,5542,701,341,647,7419000,21000
5856,12,2016,"30,000 to 34,999",Placer,7446,2123,4294,3435,241507000,1828000
5857,13,2004,"35,000 to 39,999",Placer,6839,2831,5028,3757,256148000,3290000
5858,22,2013,"200,000 to 299,999",Placer,6000,5449,5977,7118,1428056000,83624000
5859,18,2010,"80,000 to 89,999",Placer,6754,4924,6646,6045,573256000,16389000
5860,1,2011,Zero and Deficit,Placer,3715,1524,111,1341,-437007000,70000
5861,2,2016,"1 to 2,999",Placer,4931,520,232,498,7477000,7000
5862,4,2013,"6,000 to 8,999",Placer,5608,585,1511,940,42094000,78000
5863,18,2012,"80,000 to 89,999",Placer,6861,4801,6690,5865,582913000,14829000
5864,9,2005,"21,000 to 23,999",Placer,5246,1405,2942,2259,117966000,710000
5865,26,2009,"1,000,000 and over",Placer,221,199,221,256,439291000,36517000
5866,24,2012,"400,000 to 499,999",Placer,680,605,674,831,303405000,22270000
5867,14,2005,"40,000 to 49,999",Placer,12035,5631,9542,7193,540137000,8147000
5868,2,2009,"1 to 2,999",Placer,6305,764,397,873,8113000,14000
5869,3,2016,"3,000 to 5,999",Placer,5629,520,1489,678,25384000,35000
5870,19,2010,"90,000 to 99,999",Placer,5674,4451,5629,5530,538092000,16834000
5871,23,2007,"300,000 to 399,999",Placer,1362,1219,1358,1565,466404000,31226000
5872,3,2008,"3,000 to 5,999",Placer,5811,529,1854,869,26187000,35000
5873,23,2008,"300,000 to 399,999",Placer,1290,1154,1288,1595,440870000,28597000
5874,12,2010,"30,000 to 34,999",Placer,7469,2754,5309,4287,242350000,2345000
5875,8,2010,"18,000 to 20,999",Placer,5792,1493,2952,2863,113031000,415000
5876,16,2016,"60,000 to 69,999",Placer,9067,4571,8134,5635,588312000,11259000
5877,21,2011,"150,000 to 199,999",Placer,7730,7035,7704,9074,1323662000,63222000
5878,8,2003,"18,000 to 20,999",Placer,5444,1358,2989,2179,105903000,533000
5879,7,2011,"15,000 to 17,999",Placer,5880,1219,2466,2706,96899000,180000
5880,23,2009,"300,000 to 399,999",Placer,1099,983,1093,1364,375534000,25806000
5881,21,2015,"150,000 to 199,999",Placer,11087,9725,11058,12471,1905620000,92996000
5882,23,2013,"300,000 to 399,999",Placer,1669,1499,1659,2057,573136000,38447000
5883,26,2006,"1,000,000 and over",Placer,417,360,415,483,1114890000,97453000
5884,6,2011,"12,000 to 14,999",Placer,6102,1045,1633,2413,82330000,111000
5885,20,2014,"100,000 and over",Placer,21227,17255,21111,21486,2590171000,95227000
5886,13,2010,"35,000 to 39,999",Placer,6706,2825,5372,3938,251131000,2952000
5887,10,2003,"24,000 to 26,999",Placer,4973,1536,2796,2304,126798000,979000
5888,6,2008,"12,000 to 14,999",Placer,5649,953,1741,1934,76194000,110000
5889,7,2007,"15,000 to 17,999",Placer,5641,1018,3021,2096,93101000,255000
5890,16,2007,"60,000 to 69,999",Placer,8946,5393,7926,6487,580557000,11160000
5891,7,2015,"15,000 to 17,999",Placer,6053,994,2495,1959,99903000,199000
5892,12,2003,"30,000 to 34,999",Placer,7234,2765,4901,3670,234846000,2690000
5893,16,2013,"60,000 to 69,999",Placer,8853,4993,8086,6147,574903000,11007000
5894,8,2011,"18,000 to 20,999",Placer,5626,1338,2709,2662,109642000,294000
5895,4,2008,"6,000 to 8,999",Placer,5773,685,1550,1230,43336000,73000
5896,2,2007,"1 to 2,999",Placer,5780,547,729,603,8463000,21000
5897,13,2005,"35,000 to 39,999",Placer,6838,2754,4820,3812,256186000,3151000
5898,1,2007,Zero and Deficit,Placer,2548,1162,66,1288,-205874000,73000
5899,23,2011,"300,000 to 399,999",Placer,1366,1230,1356,1715,470512000,31265000
5900,11,2012,"27,000 to 29,999",Placer,4686,1478,2481,2574,133506000,851000
5901,22,2014,"200,000 to 299,999",Placer,6634,6000,6617,7770,1582097000,92826000
5902,8,2004,"18,000 to 20,999",Placer,5585,1317,3082,2164,108883000,510000
5903,21,2003,"150,000 to 199,999",Placer,4254,3888,4233,5039,726511000,38472000
5904,2,2003,"1 to 2,999",Placer,5085,534,450,533,7429000,7000
5905,10,2015,"24,000 to 26,999",Placer,5336,1258,2882,2346,136038000,707000
5906,26,2012,"1,000,000 and over",Placer,389,328,389,448,1030876000,112039000
5907,12,2012,"30,000 to 34,999",Placer,7243,2523,3921,4142,235165000,1772000
5908,3,2010,"3,000 to 5,999",Placer,5757,654,1498,1047,26083000,46000
5909,7,2013,"15,000 to 17,999",Placer,5737,1052,2243,2366,94629000,166000
5910,25,2006,"500,000 to 999,999",Placer,940,763,929,1048,632213000,48830000
5911,11,2003,"27,000 to 29,999",Placer,4685,1624,2828,2353,133406000,1247000
5912,20,2007,"100,000 to 149,999",Placer,18088,15565,17898,19473,2195213000,76348000
5913,9,2014,"21,000 to 23,999",Placer,5346,1273,2754,2296,120135000,410000
5914,23,2015,"300,000 to 399,999",Placer,2319,2081,2313,2853,792191000,53036000
