,entity_name,fiscal_year,total_expenditures,estimated_population,expenditures_per_capita
23,Alpine,2011,14988662,1176,12745
24,Alpine,2010,14578603,1189,12261
25,Alpine,2009,15928407,1201,13263
26,Alpine,2008,16252352,1222,13300
27,Alpine,2007,15828512,1261,12552
28,Alpine,2006,12990891,1241,10468
29,Alpine,2005,11971845,1262,9486
30,Alpine,2004,11786381,1275,9244
31,Alpine,2003,10484122,1208,8679
32,Amador,2018,75455001,38094,1981
33,Amador,2017,75321932,38382,1962
34,Amador,2016,67509530,37707,1790
35,Amador,2015,65523618,36312,1804
36,Amador,2014,62404951,36151,1726
37,Amador,2013,59949058,36741,1632
38,Amador,2012,59289357,37120,1597
39,Amador,2011,58227532,37911,1536
40,Amador,2010,61056979,38022,1606
41,Amador,2009,61467665,38080,1614
42,Amador,2008,65445833,37943,1725
43,Amador,2007,69470969,38435,1807
44,Amador,2006,65969657,38133,1730
45,Amador,2005,51370044,37574,1367
46,Amador,2004,45919323,36834,1247
47,Amador,2003,38124410,36523,1044
48,Butte,2018,419566673,227621,1843
49,Butte,2017,402575447,226404,1778
50,Butte,2016,359472359,224601,1600
51,Butte,2015,346021855,224323,1543
52,Butte,2014,329455634,222316,1482
53,Butte,2013,347665055,221485,1570
54,Butte,2012,351797294,221273,1590
55,Butte,2011,344618539,221388,1557
56,Butte,2010,345569828,221768,1558
57,Butte,2009,351885090,220748,1594
58,Butte,2008,337211352,220407,1530
59,Butte,2007,334398953,218069,1533
60,Butte,2006,313286152,217209,1442
61,Butte,2005,297423988,214119,1389
62,Butte,2004,286921500,212745,1349
63,Butte,2003,281495381,210367,1338
64,Calaveras,2018,101249425,45157,2242
65,Calaveras,2017,103545726,45168,2292
66,Calaveras,2016,79017852,45207,1748
67,Calaveras,2015,74242525,45668,1626
68,Calaveras,2014,83653600,44650,1874
69,Calaveras,2013,97959949,44932,2180
70,Calaveras,2012,83653260,44840,1866
71,Calaveras,2011,72979521,45693,1597
72,Calaveras,2010,70766481,45870,1543
73,Calaveras,2009,78327109,45987,1703
74,Calaveras,2008,79546543,46127,1725
75,Calaveras,2007,72491904,46028,1575
76,Calaveras,2006,72719484,45711,1591
77,Calaveras,2005,59935893,44796,1338
78,Calaveras,2004,53644839,43339,1238
79,Calaveras,2003,49224324,42458,1159
80,Colusa,2018,61793173,22098,2796
81,Colusa,2017,57662770,22043,2616
82,Colusa,2016,56754215,21948,2586
83,Colusa,2015,52097886,21715,2399
84,Colusa,2014,56162747,21660,2593
85,Colusa,2013,53867054,21674,2485
86,Colusa,2012,47080206,21690,2171
87,Colusa,2011,46753162,21593,2165
88,Colusa,2010,46636818,22206,2100
89,Colusa,2009,45788350,21997,2082
90,Colusa,2008,48570645,21910,2217
91,Colusa,2007,41276436,21951,1880
92,Colusa,2006,37158716,21512,1727
93,Colusa,2005,33230562,20880,1592
94,Colusa,2004,33016376,20105,1642
95,Colusa,2003,34470394,19700,1750
96,Contra Costa,2018,3086181054,1149363,2685
97,Contra Costa,2017,2942527728,1139513,2582
98,Contra Costa,2016,2670142484,1123429,2377
99,Contra Costa,2015,2598449579,1102871,2356
100,Contra Costa,2014,2260176890,1087008,2079
101,Contra Costa,2013,2159734994,1074702,2010
102,Contra Costa,2012,2016639285,1065117,1893
103,Contra Costa,2011,1937982203,1056064,1835
104,Contra Costa,2010,1805784477,1073055,1683
105,Contra Costa,2009,1865767496,1060435,1759
106,Contra Costa,2008,1887446238,1051674,1795
107,Contra Costa,2007,1795654114,1042341,1723
108,Contra Costa,2006,1650775320,1029377,1604
109,Contra Costa,2005,1595294731,1020898,1563
110,Contra Costa,2004,1541478814,1003909,1535
111,Contra Costa,2003,1479194711,994908,1487
112,Del Norte,2018,74253520,27221,2728
113,Del Norte,2017,71648370,27124,2642
114,Del Norte,2016,70442451,26811,2627
115,Del Norte,2015,69830915,28031,2491
116,Del Norte,2014,62894734,28131,2236
117,Del Norte,2013,66313113,28380,2337
118,Del Norte,2012,63595956,28429,2237
119,Del Norte,2011,53736105,28594,1879
120,Del Norte,2010,55408451,29673,1867
121,Del Norte,2009,60008250,29547,2031
122,Del Norte,2008,56265599,29419,1913
123,Del Norte,2007,55102516,29341,1878
124,Del Norte,2006,53060246,29196,1817
125,Del Norte,2005,48185949,28895,1668
126,Del Norte,2004,43997601,28266,1557
127,Del Norte,2003,44008716,27848,1580
128,El Dorado,2018,337411051,188399,1791
129,El Dorado,2017,312951842,185062,1691
130,El Dorado,2016,312825778,183750,1702
131,El Dorado,2015,304980251,184917,1649
132,El Dorado,2014,276833206,182404,1518
133,El Dorado,2013,270617935,182286,1485
134,El Dorado,2012,260871342,180712,1444
135,El Dorado,2011,267356271,182498,1465
136,El Dorado,2010,268680830,182019,1476
137,El Dorado,2009,285550953,180185,1585
138,El Dorado,2008,300573204,179722,1672
139,El Dorado,2007,274209038,178674,1535
140,El Dorado,2006,250534550,176204,1422
141,El Dorado,2005,219012662,173407,1263
142,El Dorado,2004,201469618,168117,1198
143,El Dorado,2003,193653341,166030,1166
144,Fresno,2018,1783079000,1007229,1770
145,Fresno,2017,1649858000,995975,1657
146,Fresno,2016,1385152576,984541,1407
147,Fresno,2015,1310995778,972297,1348
148,Fresno,2014,1243526163,964040,1290
149,Fresno,2013,1224642063,952166,1286
150,Fresno,2012,1174535564,945711,1242
151,Fresno,2011,1221747562,940220,1299
152,Fresno,2010,1195960511,953761,1254
153,Fresno,2009,1272148945,942298,1350
154,Fresno,2008,1270148662,931098,1364
155,Fresno,2007,1166395630,917515,1271
156,Fresno,2006,1144675056,899514,1273
157,Fresno,2005,1047151171,883537,1185
158,Fresno,2004,1009460514,862642,1170
159,Fresno,2003,1017200556,841423,1209
160,Glenn,2018,79330565,28796,2755
161,Glenn,2017,72240174,28731,2514
162,Glenn,2016,62882626,28668,2193
163,Glenn,2015,60659342,28728,2112
164,Glenn,2014,64345624,28353,2269
165,Glenn,2013,68064510,28349,2401
166,Glenn,2012,65960412,28122,2346
167,Glenn,2011,66014786,28273,2335
168,Glenn,2010,68744257,29434,2336
169,Glenn,2009,70075785,29239,2397
170,Glenn,2008,70367378,29195,2410
171,Glenn,2007,64072512,28915,2216
172,Glenn,2006,63129442,28651,2203
173,Glenn,2005,56481013,28197,2003
174,Glenn,2004,55442304,27756,1997
175,Glenn,2003,59612814,27071,2202
176,Humboldt,2018,372243534,136002,2737
177,Humboldt,2017,328233619,136953,2397
178,Humboldt,2016,280156807,135116,2073
179,Humboldt,2015,261055439,134398,1942
180,Humboldt,2014,258159217,134648,1917
181,Humboldt,2013,239056571,135209,1768
182,Humboldt,2012,239716576,134587,1781
183,Humboldt,2011,232619292,135263,1720
184,Humboldt,2010,233685993,133400,1752
185,Humboldt,2009,242677262,132755,1828
186,Humboldt,2008,226215726,132821,1703
187,Humboldt,2007,214270378,131959,1624
188,Humboldt,2006,203505136,132526,1536
189,Humboldt,2005,183340775,131334,1396
190,Humboldt,2004,188597609,129964,1451
191,Humboldt,2003,184457563,128347,1437
192,Imperial,2018,443023733,190624,2324
193,Imperial,2017,439403052,188334,2333
194,Imperial,2016,313348529,185831,1686
195,Imperial,2015,326775920,183429,1781
196,Imperial,2014,289705311,180672,1603
197,Imperial,2013,283034960,180061,1572
198,Imperial,2012,280430365,177441,1580
199,Imperial,2011,274556866,176258,1558
200,Imperial,2010,261770616,183029,1430
201,Imperial,2009,254440145,179254,1419
202,Imperial,2008,247313372,176158,1404
203,Imperial,2007,232566033,172672,1347
204,Imperial,2006,219519494,166585,1318
205,Imperial,2005,205835949,161800,1272
206,Imperial,2004,196494143,156562,1255
207,Imperial,2003,193013972,150909,1279
208,Inyo,2018,76019832,18577,4092
209,Inyo,2017,74000296,18619,3974
210,Inyo,2016,67720679,18650,3631
211,Inyo,2015,62986131,18574,3391
212,Inyo,2014,67407283,18590,3626
213,Inyo,2013,68004848,18573,3661
214,Inyo,2012,63172834,18461,3422
215,Inyo,2011,64907072,18634,3483
216,Inyo,2010,61731395,18110,3409
217,Inyo,2009,61936597,18049,3432
218,Inyo,2008,62011250,18152,3416
219,Inyo,2007,56464288,18383,3072
220,Inyo,2006,51511018,18515,2782
221,Inyo,2005,48340146,18592,2600
222,Inyo,2004,52100646,18515,2814
223,Inyo,2003,49256868,18351,2684
224,Kern,2018,1822485809,905801,2012
225,Kern,2017,1798910958,895112,2010
226,Kern,2016,1774234626,886507,2001
227,Kern,2015,1676595034,874264,1918
228,Kern,2014,1720884350,873092,1971
229,Kern,2013,1601784836,857882,1867
230,Kern,2012,1552674370,850006,1827
231,Kern,2011,1555380622,846883,1837
232,Kern,2010,1533701063,839587,1827
233,Kern,2009,1542072859,827173,1864
234,Kern,2008,1526340679,817517,1867
235,Kern,2007,1361120866,801648,1698
236,Kern,2006,1282984826,779869,1645
237,Kern,2005,1194069564,753070,1586
238,Kern,2004,1136681877,724883,1568
239,Kern,2003,1113129368,702873,1584
240,Kings,2018,289127782,151662,1906
241,Kings,2017,285032685,149537,1906
242,Kings,2016,243599118,150373,1620
243,Kings,2015,224669014,149721,1501
244,Kings,2014,198913637,150181,1324
245,Kings,2013,189311156,152007,1245
246,Kings,2012,180967549,152419,1187
247,Kings,2011,186724804,153365,1218
248,Kings,2010,184865685,156289,1183
249,Kings,2009,186145923,154743,1203
250,Kings,2008,177741648,154434,1151
251,Kings,2007,169144073,151381,1117
252,Kings,2006,172021048,147729,1164
253,Kings,2005,158454006,144732,1095
254,Kings,2004,137172266,141434,970
255,Kings,2003,135795955,136108,998
256,Lake,2018,139957417,65081,2151
257,Lake,2017,135403377,64945,2085
258,Lake,2016,137893191,64306,2144
259,Lake,2015,117225303,64918,1806
260,Lake,2014,123347399,64699,1906
261,Lake,2013,111995868,64531,1736
262,Lake,2012,113540568,63266,1795
263,Lake,2011,115093688,64784,1777
264,Lake,2010,118868288,64053,1856
265,Lake,2009,121641662,64025,1900
266,Lake,2008,117582534,64059,1836
267,Lake,2007,111360000,64276,1733
268,Lake,2006,98962444,64105,1544
269,Lake,2005,93899821,63250,1485
