_id,permit_number
5ea1d72ceabbc96ff8ab01f1,2.00701E+11
5ea1d72ceabbc96ff8ab01f2,M52523
5ea1d72ceabbc96ff8ab01f3,M52363
5ea1d72ceabbc96ff8ab01f4,M52302
5ea1d72ceabbc96ff8ab01f5,M52303
5ea1d72ceabbc96ff8ab01f6,2.00701E+11
5ea1d72ceabbc96ff8ab01f7,2.00701E+11
5ea1d72ceabbc96ff8ab01f8,2.00701E+11
5ea1d72ceabbc96ff8ab01f9,2.00701E+11
5ea1d72ceabbc96ff8ab01fa,2.00701E+11
5ea1d72ceabbc96ff8ab01fb,2.00701E+11
5ea1d72ceabbc96ff8ab01fc,2.00701E+11
5ea1d72ceabbc96ff8ab01fd,2.00701E+11
5ea1d72ceabbc96ff8ab01fe,2.00701E+11
5ea1d72ceabbc96ff8ab01ff,2.00701E+11
5ea1d72ceabbc96ff8ab0200,2.00701E+11
5ea1d72ceabbc96ff8ab0201,2.00701E+11
5ea1d72ceabbc96ff8ab0202,2.00701E+11
5ea1d72ceabbc96ff8ab0203,2.00701E+11
5ea1d72ceabbc96ff8ab0204,2.00701E+11
5ea1d72ceabbc96ff8ab0205,M52322
5ea1d72ceabbc96ff8ab0206,2.00701E+11
5ea1d72ceabbc96ff8ab0207,2.00701E+11
5ea1d72ceabbc96ff8ab0208,2.00701E+11
5ea1d72ceabbc96ff8ab0209,M52342
5ea1d72ceabbc96ff8ab020a,2.00701E+11
5ea1d72ceabbc96ff8ab020b,2.00701E+11
5ea1d72ceabbc96ff8ab020c,2.00701E+11
5ea1d72ceabbc96ff8ab020d,M52362
5ea1d72ceabbc96ff8ab020e,2.00701E+11
5ea1d72ceabbc96ff8ab020f,M52364
5ea1d72ceabbc96ff8ab0210,M52364
5ea1d72ceabbc96ff8ab0211,2.00701E+11
5ea1d72ceabbc96ff8ab0212,2.00701E+11
5ea1d72ceabbc96ff8ab0213,2.00701E+11
5ea1d72ceabbc96ff8ab0214,M52382
5ea1d72ceabbc96ff8ab0215,M52383
5ea1d72ceabbc96ff8ab0216,M52384
5ea1d72ceabbc96ff8ab0217,2.00701E+11
5ea1d72ceabbc96ff8ab0218,2.00701E+11
5ea1d72ceabbc96ff8ab0219,2.00701E+11
5ea1d72ceabbc96ff8ab021a,2.00701E+11
5ea1d72ceabbc96ff8ab021b,2.00701E+11
5ea1d72ceabbc96ff8ab021c,2.00701E+11
5ea1d72ceabbc96ff8ab021d,M52402
5ea1d72ceabbc96ff8ab021e,M52403
5ea1d72ceabbc96ff8ab021f,M52404
5ea1d72ceabbc96ff8ab0220,2.00701E+11
5ea1d72ceabbc96ff8ab0221,2.00701E+11
5ea1d72ceabbc96ff8ab0222,2.00701E+11
5ea1d72ceabbc96ff8ab0223,2.00701E+11
5ea1d72ceabbc96ff8ab0224,2.00701E+11
5ea1d72ceabbc96ff8ab0225,2.00701E+11
5ea1d72ceabbc96ff8ab0226,2.00701E+11
5ea1d72ceabbc96ff8ab0227,2.00701E+11
5ea1d72ceabbc96ff8ab0228,M52422
5ea1d72ceabbc96ff8ab0229,2.00701E+11
5ea1d72ceabbc96ff8ab022a,M52423
5ea1d72ceabbc96ff8ab022b,M52425
5ea1d72ceabbc96ff8ab022c,M52425
5ea1d72ceabbc96ff8ab022d,M52426
5ea1d72ceabbc96ff8ab022e,2.00701E+11
5ea1d72ceabbc96ff8ab022f,2.00701E+11
5ea1d72ceabbc96ff8ab0230,M52427
5ea1d72ceabbc96ff8ab0231,M52427
5ea1d72ceabbc96ff8ab0232,M52429
5ea1d72ceabbc96ff8ab0233,M52428
5ea1d72ceabbc96ff8ab0234,M52424
5ea1d72deabbc96ff8ab0235,M52430
5ea1d72deabbc96ff8ab0236,M52431
5ea1d72deabbc96ff8ab0237,2.00701E+11
5ea1d72deabbc96ff8ab0238,M52442
5ea1d72deabbc96ff8ab0239,M52442
5ea1d72deabbc96ff8ab023a,M52443
5ea1d72deabbc96ff8ab023b,M52444
5ea1d72deabbc96ff8ab023c,M52445
5ea1d72deabbc96ff8ab023d,M52446
5ea1d72deabbc96ff8ab023e,2.00701E+11
5ea1d72deabbc96ff8ab023f,2.00701E+11
5ea1d72deabbc96ff8ab0240,M52447
5ea1d72deabbc96ff8ab0241,2.00701E+11
5ea1d72deabbc96ff8ab0242,2.00701E+11
5ea1d72deabbc96ff8ab0243,2.00701E+11
5ea1d72deabbc96ff8ab0244,M52449
5ea1d72deabbc96ff8ab0245,2.00701E+11
5ea1d72deabbc96ff8ab0246,M52462
5ea1d72deabbc96ff8ab0247,M52462
5ea1d72deabbc96ff8ab0248,2.00701E+11
5ea1d72deabbc96ff8ab0249,2.00701E+11
5ea1d72deabbc96ff8ab024a,M52482
5ea1d72deabbc96ff8ab024b,M52483
5ea1d72deabbc96ff8ab024c,2.00701E+11
5ea1d72deabbc96ff8ab024d,M52502
5ea1d72deabbc96ff8ab024e,2.00701E+11
5ea1d72deabbc96ff8ab024f,2.00701E+11
5ea1d72deabbc96ff8ab0250,2.00701E+11
5ea1d72deabbc96ff8ab0251,M52522
5ea1d72deabbc96ff8ab0252,2.00701E+11
5ea1d72deabbc96ff8ab0253,2.00701E+11
5ea1d72deabbc96ff8ab0254,2.00701E+11
5ea1d72deabbc96ff8ab0255,2.00701E+11
5ea1d72deabbc96ff8ab0256,2.00701E+11
5ea1d72deabbc96ff8ab0257,2.00701E+11
5ea1d72eeabbc96ff8ab0258,M52642
5ea1d72eeabbc96ff8ab0259,2.00701E+11
5ea1d72eeabbc96ff8ab025a,2.00701E+11
5ea1d72eeabbc96ff8ab025b,2.00701E+11
5ea1d72eeabbc96ff8ab025c,2.00701E+11
5ea1d72eeabbc96ff8ab025d,2.00701E+11
5ea1d72eeabbc96ff8ab025e,2.00701E+11
5ea1d72eeabbc96ff8ab025f,2.00701E+11
5ea1d72eeabbc96ff8ab0260,2.00701E+11
5ea1d72eeabbc96ff8ab0261,2.00701E+11
5ea1d72eeabbc96ff8ab0262,2.00701E+11
5ea1d72eeabbc96ff8ab0263,2.00701E+11
5ea1d72eeabbc96ff8ab0264,2.00701E+11
5ea1d72eeabbc96ff8ab0265,2.00701E+11
5ea1d72eeabbc96ff8ab0266,2.00701E+11
5ea1d72eeabbc96ff8ab0267,2.00701E+11
5ea1d72eeabbc96ff8ab0268,2.00701E+11
5ea1d72eeabbc96ff8ab0269,2.00701E+11
5ea1d72eeabbc96ff8ab026a,M52542
5ea1d72eeabbc96ff8ab026b,M52542
5ea1d72eeabbc96ff8ab026c,M52542
5ea1d72eeabbc96ff8ab026d,M52543
5ea1d72eeabbc96ff8ab026e,M52544
5ea1d72eeabbc96ff8ab026f,2.00701E+11
5ea1d72eeabbc96ff8ab0270,2.00701E+11
5ea1d72eeabbc96ff8ab0271,M52545
5ea1d72eeabbc96ff8ab0272,M52545
5ea1d72eeabbc96ff8ab0273,2.00701E+11
5ea1d72eeabbc96ff8ab0274,2.00701E+11
5ea1d72eeabbc96ff8ab0275,M52546
5ea1d72eeabbc96ff8ab0276,M52547
5ea1d72eeabbc96ff8ab0277,M52546
5ea1d72eeabbc96ff8ab0278,2.00701E+11
5ea1d72eeabbc96ff8ab0279,M52548
5ea1d72eeabbc96ff8ab027a,M52549
5ea1d72eeabbc96ff8ab027b,2.00701E+11
5ea1d72eeabbc96ff8ab027c,2.00701E+11
5ea1d72eeabbc96ff8ab027d,2.00701E+11
5ea1d72eeabbc96ff8ab027e,2.00701E+11
5ea1d72eeabbc96ff8ab027f,2.00701E+11
5ea1d72eeabbc96ff8ab0280,2.00701E+11
5ea1d72eeabbc96ff8ab0281,2.00701E+11
5ea1d72eeabbc96ff8ab0282,2.00701E+11
